operation_type|scheduled_start_time|actual_start_time|execution_duration_MILLISECONDS|result_code|original_start_time
LdbcQuery11|1759532771811|1759532771811|7899|0|25904
LdbcQuery1|1759532771827|1759532779710|2352|0|42094
LdbcQuery10|1759532771834|1759532782063|3873|0|48570
LdbcQuery11|1759532771837|1759532785937|83|0|51808
LdbcQuery4|1759532771843|1759532786020|6406|0|58284
LdbcQuery11|1759532771863|1759532792427|37|0|77712
LdbcQuery1|1759532771869|1759532792465|52|0|84188
LdbcQuery5|1759532771877|1759532792519|1260|0|92283
LdbcQuery10|1759532771882|1759532793779|43|0|97140
LdbcQuery11|1759532771889|1759532793822|38|0|103616
LdbcQuery4|1759532771902|1759532793860|1002|8|116568
LdbcQuery1|1759532771911|1759532794862|53|0|126282
LdbcQuery11|1759532771915|1759532794917|46|0|129520
LdbcQuery10|1759532771931|1759532794963|5345|10|145710
LdbcQuery11|1759532771941|1759532800309|34|0|155424
LdbcQuery1|1759532771953|1759532800343|30|0|168376
LdbcQuery4|1759532771960|1759532800374|43|0|174852
LdbcQuery11|1759532771966|1759532800417|23|0|181328
LdbcQuery5|1759532771970|1759532800441|35|0|184566
LdbcQuery10|1759532771979|1759532800477|28|0|194280
