operation_type|scheduled_start_time|actual_start_time|execution_duration_MILLISECONDS|result_code|original_start_time
LdbcQuery11|1759819564519|1759819564520|593|0|103616
LdbcQuery11|1759819564467|1759819564467|645|0|51808
LdbcQuery11|1759819564493|1759819564493|619|0|77712
LdbcQuery11|1759819564441|1759819564442|673|0|25904
LdbcQuery11|1759819564571|1759819565112|14|0|155424
LdbcQuery11|1759819564596|1759819565112|14|0|181328
LdbcQuery11|1759819564545|1759819565112|15|0|129520
LdbcQuery11|1759819564622|1759819565116|12|0|207232
LdbcQuery11|1759819564648|1759819565127|9|0|233136
LdbcQuery11|1759819564674|1759819565127|10|0|259040
LdbcQuery11|1759819564726|1759819565129|8|0|310848
LdbcQuery11|1759819564700|1759819565129|11|0|284944
LdbcQuery11|1759819564752|1759819565137|6|0|336752
LdbcQuery11|1759819564804|1759819565138|12|0|388560
LdbcQuery11|1759819564778|1759819565138|69|0|362656
LdbcQuery11|1759819564881|1759819565150|58|0|466272
LdbcQuery11|1759819564855|1759819565144|64|0|440368
LdbcQuery11|1759819564830|1759819565141|69|0|414464
LdbcQuery11|1759819564959|1759819565209|5|0|543984
LdbcQuery11|1759819564933|1759819565209|6|0|518080
LdbcQuery11|1759819564907|1759819565208|8|0|492176
LdbcQuery11|1759819564985|1759819565211|9|0|569888
LdbcQuery11|1759819565037|1759819565215|5|0|621696
LdbcQuery11|1759819565011|1759819565214|6|0|595792
LdbcQuery11|1759819565063|1759819565217|8|0|647600
LdbcQuery11|1759819565115|1759819565221|6|0|699408
LdbcQuery11|1759819565140|1759819565221|6|0|725312
LdbcQuery11|1759819565089|1759819565220|12|0|673504
LdbcQuery11|1759819565166|1759819565226|7|0|751216
LdbcQuery11|1759819565192|1759819565227|6|0|777120
LdbcQuery11|1759819565218|1759819565228|10|0|803024
LdbcQuery11|1759819565244|1759819565245|8|0|828928
LdbcQuery11|1759819565270|1759819565271|28|0|854832
LdbcQuery11|1759819565296|1759819565296|10|0|880736
LdbcQuery11|1759819565322|1759819565322|9|0|906640
LdbcQuery11|1759819565348|1759819565348|12|0|932544
LdbcQuery11|1759819565374|1759819565374|38|0|958448
LdbcQuery11|1759819565399|1759819565403|23|0|984352
LdbcQuery11|1759819565425|1759819565425|6|0|1010256
LdbcQuery11|1759819565451|1759819565452|8|0|1036160
LdbcQuery11|1759819565477|1759819565477|8|0|1062064
LdbcQuery11|1759819565503|1759819565503|7|0|1087968
LdbcQuery11|1759819565529|1759819565529|9|0|1113872
LdbcQuery11|1759819565555|1759819565556|9|0|1139776
LdbcQuery11|1759819565581|1759819565581|9|0|1165680
LdbcQuery11|1759819565607|1759819565607|10|0|1191584
LdbcQuery11|1759819565633|1759819565633|19|0|1217488
LdbcQuery11|1759819565658|1759819565658|12|0|1243392
LdbcQuery11|1759819565684|1759819565684|7|0|1269296
LdbcQuery11|1759819565710|1759819565711|7|0|1295200
