operation_type|scheduled_start_time|actual_start_time|execution_duration_MILLISECONDS|result_code|original_start_time
LdbcQuery11|1759819576346|1759819576346|8|0|1321104
LdbcQuery11|1759819576372|1759819576373|7|0|1347008
LdbcQuery11|1759819576398|1759819576400|7|0|1372912
LdbcQuery11|1759819576424|1759819576425|7|0|1398816
LdbcQuery11|1759819576450|1759819576450|7|0|1424720
LdbcQuery11|1759819576476|1759819576476|7|0|1450624
LdbcQuery11|1759819576501|1759819576502|8|0|1476528
LdbcQuery11|1759819576527|1759819576528|7|0|1502432
LdbcQuery11|1759819576553|1759819576555|6|0|1528336
LdbcQuery11|1759819576579|1759819576579|8|0|1554240
LdbcQuery11|1759819576605|1759819576605|8|0|1580144
LdbcQuery11|1759819576631|1759819576631|6|0|1606048
LdbcQuery11|1759819576657|1759819576658|6|0|1631952
LdbcQuery11|1759819576683|1759819576683|6|0|1657856
LdbcQuery11|1759819576709|1759819576709|7|0|1683760
LdbcQuery11|1759819576735|1759819576736|7|0|1709664
LdbcQuery11|1759819576760|1759819576760|6|0|1735568
LdbcQuery11|1759819576786|1759819576787|7|0|1761472
LdbcQuery11|1759819576812|1759819576813|7|0|1787376
LdbcQuery11|1759819576838|1759819576839|6|0|1813280
LdbcQuery11|1759819576864|1759819576865|6|0|1839184
LdbcQuery11|1759819576890|1759819576890|7|0|1865088
LdbcQuery11|1759819576916|1759819576917|9|0|1890992
LdbcQuery11|1759819576942|1759819576943|7|0|1916896
LdbcQuery11|1759819576968|1759819576968|6|0|1942800
LdbcQuery11|1759819576994|1759819576995|7|0|1968704
LdbcQuery11|1759819577020|1759819577021|7|0|1994608
LdbcQuery11|1759819577045|1759819577046|8|0|2020512
LdbcQuery11|1759819577071|1759819577071|11|0|2046416
LdbcQuery11|1759819577097|1759819577097|6|0|2072320
LdbcQuery11|1759819577123|1759819577123|6|0|2098224
LdbcQuery11|1759819577149|1759819577150|7|0|2124128
LdbcQuery11|1759819577175|1759819577176|6|0|2150032
LdbcQuery11|1759819577201|1759819577201|6|0|2175936
LdbcQuery11|1759819577227|1759819577227|7|0|2201840
LdbcQuery11|1759819577253|1759819577254|6|0|2227744
LdbcQuery11|1759819577279|1759819577280|7|0|2253648
LdbcQuery11|1759819577304|1759819577305|6|0|2279552
LdbcQuery11|1759819577330|1759819577330|8|0|2305456
LdbcQuery11|1759819577356|1759819577356|7|0|2331360
LdbcQuery11|1759819577382|1759819577383|6|0|2357264
LdbcQuery11|1759819577408|1759819577408|6|0|2383168
LdbcQuery11|1759819577434|1759819577435|7|0|2409072
LdbcQuery11|1759819577460|1759819577460|6|0|2434976
LdbcQuery11|1759819577486|1759819577486|7|0|2460880
LdbcQuery11|1759819577512|1759819577512|7|0|2486784
LdbcQuery11|1759819577538|1759819577538|7|0|2512688
LdbcQuery11|1759819577563|1759819577564|6|0|2538592
LdbcQuery11|1759819577589|1759819577589|7|0|2564496
LdbcQuery11|1759819577615|1759819577617|7|0|2590400
LdbcQuery11|1759819577641|1759819577641|6|0|2616304
LdbcQuery11|1759819577667|1759819577667|8|0|2642208
LdbcQuery11|1759819577693|1759819577693|7|0|2668112
LdbcQuery11|1759819577719|1759819577719|7|0|2694016
LdbcQuery11|1759819577745|1759819577746|5|0|2719920
LdbcQuery11|1759819577771|1759819577771|6|0|2745824
LdbcQuery11|1759819577797|1759819577797|6|0|2771728
LdbcQuery11|1759819577823|1759819577823|7|0|2797632
LdbcQuery11|1759819577848|1759819577848|5|0|2823536
LdbcQuery11|1759819577874|1759819577874|7|0|2849440
LdbcQuery11|1759819577900|1759819577900|6|0|2875344
LdbcQuery11|1759819577926|1759819577926|6|0|2901248
LdbcQuery11|1759819577952|1759819577953|5|0|2927152
LdbcQuery11|1759819577978|1759819577978|5|0|2953056
LdbcQuery11|1759819578004|1759819578004|6|0|2978960
LdbcQuery11|1759819578030|1759819578030|8|0|3004864
