operation_type|scheduled_start_time|actual_start_time|execution_duration_MILLISECONDS|result_code|original_start_time
LdbcQuery11|1759819367447|1759819367447|218|0|25904
LdbcQuery11|1759819367525|1759819367526|140|0|103616
LdbcQuery11|1759819367499|1759819367500|166|0|77712
LdbcQuery11|1759819367473|1759819367473|193|0|51808
LdbcQuery11|1759819367577|1759819367666|15|0|155424
LdbcQuery11|1759819367551|1759819367666|16|0|129520
LdbcQuery11|1759819367602|1759819367666|16|0|181328
LdbcQuery11|1759819367628|1759819367666|17|0|207232
LdbcQuery11|1759819367680|1759819367683|12|0|259040
LdbcQuery11|1759819367654|1759819367681|15|0|233136
LdbcQuery11|1759819367732|1759819367733|13|0|310848
LdbcQuery11|1759819367706|1759819367707|54|0|284944
LdbcQuery11|1759819367758|1759819367760|17|0|336752
LdbcQuery11|1759819367784|1759819367784|13|0|362656
LdbcQuery11|1759819367810|1759819367810|12|0|388560
LdbcQuery11|1759819367836|1759819367837|10|0|414464
LdbcQuery11|1759819367861|1759819367861|9|0|440368
LdbcQuery11|1759819367887|1759819367887|10|0|466272
LdbcQuery11|1759819367913|1759819367914|10|0|492176
LdbcQuery11|1759819367939|1759819367939|8|0|518080
LdbcQuery11|1759819367965|1759819367965|11|0|543984
LdbcQuery11|1759819368017|1759819368018|11|0|595792
LdbcQuery11|1759819367991|1759819367991|47|0|569888
LdbcQuery11|1759819368043|1759819368043|11|0|621696
LdbcQuery11|1759819368069|1759819368069|11|0|647600
LdbcQuery11|1759819368095|1759819368096|22|0|673504
LdbcQuery11|1759819368121|1759819368121|8|0|699408
LdbcQuery11|1759819368146|1759819368146|9|0|725312
LdbcQuery11|1759819368172|1759819368172|9|0|751216
LdbcQuery11|1759819368198|1759819368199|9|0|777120
LdbcQuery11|1759819368224|1759819368224|11|0|803024
LdbcQuery11|1759819368250|1759819368250|10|0|828928
LdbcQuery11|1759819368276|1759819368276|37|0|854832
LdbcQuery11|1759819368302|1759819368304|11|0|880736
LdbcQuery11|1759819368328|1759819368329|9|0|906640
LdbcQuery11|1759819368354|1759819368354|14|0|932544
LdbcQuery11|1759819368380|1759819368381|9|0|958448
LdbcQuery11|1759819368405|1759819368406|9|0|984352
LdbcQuery11|1759819368431|1759819368431|8|0|1010256
LdbcQuery11|1759819368457|1759819368457|9|0|1036160
LdbcQuery11|1759819368483|1759819368483|10|0|1062064
LdbcQuery11|1759819368535|1759819368535|11|0|1113872
LdbcQuery11|1759819368509|1759819368509|46|0|1087968
LdbcQuery11|1759819368561|1759819368561|9|0|1139776
LdbcQuery11|1759819368587|1759819368589|10|0|1165680
LdbcQuery11|1759819368613|1759819368613|8|0|1191584
LdbcQuery11|1759819368639|1759819368640|9|0|1217488
LdbcQuery11|1759819368664|1759819368664|9|0|1243392
LdbcQuery11|1759819368690|1759819368690|9|0|1269296
LdbcQuery11|1759819368716|1759819368717|8|0|1295200
