operation_type|scheduled_start_time|actual_start_time|execution_duration_MILLISECONDS|result_code|original_start_time
LdbcQuery11|1759819379272|1759819379273|18|0|1321104
LdbcQuery11|1759819379298|1759819379298|12|0|1347008
LdbcQuery11|1759819379350|1759819379351|10|0|1398816
LdbcQuery11|1759819379324|1759819379324|52|0|1372912
LdbcQuery11|1759819379376|1759819379376|9|0|1424720
LdbcQuery11|1759819379402|1759819379402|12|0|1450624
LdbcQuery11|1759819379427|1759819379428|10|0|1476528
LdbcQuery11|1759819379453|1759819379453|9|0|1502432
LdbcQuery11|1759819379505|1759819379505|10|0|1554240
LdbcQuery11|1759819379479|1759819379480|37|0|1528336
LdbcQuery11|1759819379531|1759819379532|8|0|1580144
LdbcQuery11|1759819379557|1759819379558|9|0|1606048
LdbcQuery11|1759819379583|1759819379584|9|0|1631952
LdbcQuery11|1759819379635|1759819379635|9|0|1683760
LdbcQuery11|1759819379609|1759819379609|40|0|1657856
LdbcQuery11|1759819379661|1759819379661|8|0|1709664
LdbcQuery11|1759819379686|1759819379687|10|0|1735568
LdbcQuery11|1759819379712|1759819379713|7|0|1761472
LdbcQuery11|1759819379738|1759819379739|9|0|1787376
LdbcQuery11|1759819379764|1759819379764|36|0|1813280
LdbcQuery11|1759819379790|1759819379791|9|0|1839184
LdbcQuery11|1759819379816|1759819379816|11|0|1865088
LdbcQuery11|1759819379842|1759819379843|10|0|1890992
LdbcQuery11|1759819379868|1759819379868|8|0|1916896
LdbcQuery11|1759819379894|1759819379895|39|0|1942800
LdbcQuery11|1759819379946|1759819379946|8|0|1994608
LdbcQuery11|1759819379920|1759819379922|43|0|1968704
LdbcQuery11|1759819379971|1759819379971|16|0|2020512
LdbcQuery11|1759819379997|1759819379998|10|0|2046416
LdbcQuery11|1759819380023|1759819380023|8|0|2072320
LdbcQuery11|1759819380049|1759819380049|10|0|2098224
LdbcQuery11|1759819380075|1759819380076|10|0|2124128
LdbcQuery11|1759819380101|1759819380101|11|0|2150032
LdbcQuery11|1759819380127|1759819380128|8|0|2175936
LdbcQuery11|1759819380153|1759819380153|11|0|2201840
LdbcQuery11|1759819380179|1759819380179|38|0|2227744
LdbcQuery11|1759819380205|1759819380205|32|0|2253648
LdbcQuery11|1759819380230|1759819380231|10|0|2279552
LdbcQuery11|1759819380256|1759819380256|11|0|2305456
LdbcQuery11|1759819380282|1759819380283|9|0|2331360
LdbcQuery11|1759819380308|1759819380308|12|0|2357264
LdbcQuery11|1759819380334|1759819380334|10|0|2383168
LdbcQuery11|1759819380360|1759819380360|11|0|2409072
LdbcQuery11|1759819380386|1759819380387|10|0|2434976
LdbcQuery11|1759819380412|1759819380413|8|0|2460880
LdbcQuery11|1759819380438|1759819380438|10|0|2486784
LdbcQuery11|1759819380464|1759819380465|11|0|2512688
LdbcQuery11|1759819380489|1759819380490|35|0|2538592
